species,target_pos,seed,n_train,n_train_pos,n_test_pos,n_test,model,accuracy,f1,precision,recall,average_precision,auroc
Dicrurus paradiseus,1000,2,4000,1000,417,9542,linear_probe,0.9389016977572836,0.5728937728937729,0.41244725738396626,0.9376498800959233,0.7180582442224048,0.9818852205906508
Dicrurus paradiseus,1000,2,4000,1000,417,9542,autogluon,0.9608048627122197,0.6618444846292948,0.5312046444121916,0.8776978417266187,0.7786376683881626,0.9841177359482277
Dicrurus paradiseus,2500,0,6988,1747,417,9542,linear_probe,0.9456088870257807,0.6041189931350115,0.4429530201342282,0.9496402877697842,0.7720609146665827,0.984341644492625
Dicrurus paradiseus,2500,0,6988,1747,417,9542,autogluon,0.9682456508069587,0.7133396404919584,0.5890625,0.9040767386091128,0.8527416551152627,0.9884463716697874
Dicrurus paradiseus,5000,0,6988,1747,417,9542,linear_probe,0.9456088870257807,0.6041189931350115,0.4429530201342282,0.9496402877697842,0.7720609146665827,0.984341644492625
Dicrurus paradiseus,5000,0,6988,1747,417,9542,autogluon,0.9682456508069587,0.7133396404919584,0.5890625,0.9040767386091128,0.8527416551152627,0.9884463716697874
Erithacus rubecula,1000,0,4000,1000,391,9542,linear_probe,0.9264305177111717,0.502127659574468,0.34739941118743867,0.9053708439897699,0.6953288506510056,0.9748488069309434
Erithacus rubecula,1000,0,4000,1000,391,9542,autogluon,0.946866485013624,0.5685106382978723,0.4260204081632653,0.8542199488491049,0.7085849487933337,0.9761838950420076
Erithacus rubecula,1000,1,4000,1000,391,9542,linear_probe,0.9247537203940474,0.49507735583684953,0.3414161008729389,0.9002557544757033,0.6877529311904877,0.9722261427412375
Erithacus rubecula,1000,1,4000,1000,391,9542,autogluon,0.9476000838398658,0.5667244367417678,0.42857142857142855,0.8363171355498721,0.7073028234481818,0.9755862216223906
Erithacus rubecula,1000,2,4000,1000,391,9542,linear_probe,0.931251309997904,0.5082458770614693,0.35949098621421,0.8670076726342711,0.7048479762537387,0.9737887296428408
Erithacus rubecula,1000,2,4000,1000,391,9542,autogluon,0.9460280863550619,0.5683151718357083,0.4226932668329177,0.8670076726342711,0.7190311633598698,0.9766905968936632
Erithacus rubecula,2500,0,6284,1571,391,9542,linear_probe,0.928526514357577,0.5079365079365079,0.35376884422110555,0.9002557544757033,0.7072837475103536,0.9748499248611182
