species,average_precision_autogluon,average_precision_linear_probe,auroc_autogluon,auroc_linear_probe,delta_ap
Oreolais rufogularis,0.381517094017094,0.4103238866396761,0.998886034808136,0.9991350387921997,-0.028806792622582122
Corvus cornix,0.6840584964950447,0.7131746031746031,0.9724127083988676,0.9934570619691726,-0.02911610667955844
Ispidina picta,0.0050988950297942495,0.03478105371392807,0.9616311982388092,0.9919278750393123,-0.02968215868413382
Hemitriccus striaticollis,0.6850365997827483,0.7152286928757516,0.9993824301374093,0.999610930986568,-0.030192093093003303
Herpsilochmus rufimarginatus,0.08473762374334057,0.1153397160654077,0.9872429710449013,0.9900020981955518,-0.030602092322067134
Lacedo pulchella,0.3520699423597706,0.38365183289966515,0.9468314495968452,0.9686123728037745,-0.03158189053989452
Myiothlypis nigrocristata,0.1111111111111111,0.14285714285714285,0.9991615134681899,0.9993711351011424,-0.031746031746031744
Colius striatus,0.017543859649122806,0.05,0.9947070537679489,0.998008594486951,-0.0324561403508772
Saxicola rubicola,0.37428434935155386,0.4082943178529138,0.9458996543899933,0.9837064723020204,-0.034009968501359955
Psilorhamphus guttatus,0.5773653807209531,0.6116402116402117,0.9851657574485941,0.9982060428031893,-0.03427483091925854
Dicaeum cruentatum,0.2823556401468373,0.3166476499446605,0.9696476097674486,0.9803007606276994,-0.03429200979782321
Pogoniulus bilineatus,0.7370410509868395,0.7715568194078128,0.978989404636192,0.9874002832503338,-0.03451576842097337
Merops apiaster,0.36272485353266515,0.3986566199285073,0.955362297921478,0.933025404157044,-0.03593176639584217
Centropus sinensis,0.42695770757488416,0.4633295931033662,0.9063429647446041,0.9337249480692102,-0.03637188552848203
Camaroptera brachyura,0.12887511038856675,0.16542929847985063,0.9595352719519195,0.9687951876529106,-0.036554188091283885
Aegithina lafresnayei,0.1278079117835525,0.16463291883439798,0.9823218318308521,0.9894409465087702,-0.03682500705084549
Momotus momota,0.4526315789473684,0.4896103896103896,0.9992660935206542,0.9994495701404906,-0.03697881066302122
Coturnix coturnix,0.012000979630251795,0.050537754042426934,0.9129713107593388,0.9596044309326625,-0.03853677441217514
Brotogeris chiriri,0.3689255189255189,0.40793650793650793,0.9907921864625922,0.9954223014292204,-0.03901098901098904
Tapera naevia,0.16364694517561862,0.2028257020452557,0.9457518362745044,0.9566644743750587,-0.039178756869637094
Burhinus oedicnemus,0.6080351604989398,0.6475722573221588,0.9869337864791098,0.9923695674994751,-0.03953709682321904
Aethopyga siparaja,0.29180074072261947,0.3323654930427695,0.9773087451375883,0.9857163438779921,-0.040564752320150055
Lophophanes cristatus,0.7099058949002522,0.7505648178417057,0.9899694134580784,0.996101715245292,-0.04065892294145346
Cyornis sumatrensis,0.20279435890076236,0.24395795755626998,0.992894858730894,0.9920209973753281,-0.041163598655507616
Phasianus colchicus,0.125,0.16666666666666666,0.9992663242846662,0.9994759459176187,-0.04166666666666666
Apalis binotata,0.7633333333333333,0.8051813471502591,0.9997483485372759,0.996057460417322,-0.04184801381692582
Pellorneum capistratum,0.5568464171180639,0.5993358128226549,0.9991080797481637,0.9990818467995803,-0.04248939570459098
Galerida cristata,0.16061715468420415,0.20397847394278565,0.9768823483098887,0.9895614633634264,-0.0433613192585815
Aegithina viridissima,0.26450110499065405,0.30794801593464394,0.898403979670335,0.9023936281499554,-0.04344691094398989
Sturnus unicolor,0.2596036993974488,0.30308865846869654,0.9014033844111968,0.934632902992278,-0.04348495907124772
Corythopis delalandi,0.24158653846153846,0.2852461156808983,0.972124659257706,0.9742084294401342,-0.04365957721935984
Crypturellus obsoletus,0.009416971916971916,0.05319114400727178,0.9774784219170424,0.9899011077331656,-0.043774172090299865
